,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
295,Ambilobe,-13.2,49.05,71.4,90,60,2.51,MG,light rain
296,Ligayan,4.6533,119.4706,84.29,68,100,6.42,PH,overcast clouds
297,Youkounkoun,12.5333,-13.1333,92.3,38,64,9.17,GN,broken clouds
298,Cozumel,20.5083,-86.9458,89.11,71,100,5.99,MX,overcast clouds
299,Vysotskoye,45.025,42.9064,56.57,90,67,5.21,RU,broken clouds
300,Nelson Bay,-32.7167,152.15,48.0,83,2,1.99,AU,clear sky
301,Ous,60.9058,61.5186,65.7,46,85,11.77,RU,overcast clouds
302,Kirakira,-10.4544,161.9205,80.62,80,94,4.5,SB,overcast clouds
303,Nirmal,19.1,78.35,78.01,79,95,6.49,IN,overcast clouds
304,Lumeje,-11.55,20.7833,59.88,47,100,6.26,AO,overcast clouds
305,Tuatapere,-46.1333,167.6833,41.47,88,15,3.76,NZ,few clouds
306,Urengoy,65.9667,78.3667,32.92,91,10,9.46,RU,clear sky
307,Naruja,41.9069,41.9542,59.32,94,29,2.15,GE,scattered clouds
308,Liverpool,53.4106,-2.9779,63.14,84,100,2.01,GB,overcast clouds
309,Srednekolymsk,67.45,153.6833,63.23,35,1,20.83,RU,clear sky
310,Mayo,38.8876,-76.5119,93.99,57,10,4.0,US,clear sky
311,Kismayo,-0.3582,42.5454,78.4,81,75,14.72,SO,broken clouds
312,Sur,22.5667,59.5289,87.82,61,0,9.46,OM,clear sky
313,Sinegorye,62.0788,150.477,49.55,58,70,10.16,RU,broken clouds
314,Lata,40.1629,-8.3327,67.05,85,1,2.73,PT,clear sky
315,Changping,40.2186,116.2197,72.52,46,0,8.99,CN,clear sky
316,Shellbrook,53.2168,-106.4011,74.34,42,90,7.58,CA,overcast clouds
317,Damghan,36.1683,54.348,81.3,34,0,1.07,IR,clear sky
318,Fare,-16.7,-151.0167,80.46,75,43,8.19,PF,scattered clouds
319,Marsh Harbour,26.5412,-77.0636,80.1,77,52,14.7,BS,broken clouds
320,Taltal,-25.4,-70.4833,62.82,77,44,5.41,CL,scattered clouds
321,Henties Bay,-22.116,14.2845,72.63,32,0,9.33,NA,clear sky
322,Eregli,37.5133,34.0467,53.24,42,35,2.66,TR,scattered clouds
323,Yuzhnyy,53.2542,83.6936,50.38,62,0,6.53,RU,clear sky
324,College,64.8569,-147.8028,71.01,39,37,1.99,US,scattered clouds
325,Elk Grove,38.4088,-121.3716,96.58,35,1,1.01,US,clear sky
326,Vanderbijlpark,-26.7117,27.838,46.36,39,0,7.78,ZA,clear sky
327,Namatanai,-3.6667,152.4333,80.46,82,42,5.64,PG,scattered clouds
328,Rio Pomba,-21.2747,-43.1792,65.07,84,69,1.01,BR,broken clouds
329,Touros,-5.1989,-35.4608,78.87,74,12,14.99,BR,few clouds
330,Mattru,7.6244,-11.8332,75.6,94,85,1.74,SL,light rain
331,Lang Son,21.8333,106.7333,74.01,87,50,1.88,VN,scattered clouds
332,Yining,29.0361,114.5636,62.64,85,2,1.5,CN,clear sky
333,Kawalu,-7.3817,108.2082,72.41,93,56,1.59,ID,broken clouds
334,Raga,8.4596,25.678,72.07,83,77,3.15,SS,light rain
335,Matara,5.9485,80.5353,77.41,90,24,9.55,LK,few clouds
336,Yulara,-25.2406,130.9889,45.48,70,0,7.38,AU,clear sky
337,Carballo,43.213,-8.691,61.02,90,1,6.13,ES,clear sky
338,Lynchburg,37.4138,-79.1423,92.32,45,0,5.55,US,clear sky
339,Arlit,18.7369,7.3853,94.84,13,83,3.49,NE,broken clouds
340,Lazaro Cardenas,17.9583,-102.2,88.83,55,44,9.71,MX,scattered clouds
341,Cordoba,-31.4135,-64.1811,67.75,30,20,1.99,AR,few clouds
342,Hofn,64.2539,-15.2082,48.67,82,99,7.2,IS,overcast clouds
343,Marawi,7.9986,124.2928,68.65,92,96,3.96,PH,overcast clouds
